event_id,event_timestamp,event_name,company_id,job_id,candidate_id,city,category
E000001,2026-01-01 00:00:00.000000,company_signup,C0001,,,Gurgaon,
E000002,2026-01-01 04:19:27.567567,company_signup,C0002,,,Hyderabad,
E000003,2026-01-01 08:38:55.135135,company_signup,C0003,,,Pune,
E000004,2026-01-01 12:58:22.702702,company_signup,C0004,,,Gurgaon,
E000005,2026-01-01 17:17:50.270270,company_signup,C0005,,,Bangalore,
E000006,2026-01-01 21:37:17.837837,company_signup,C0006,,,Lucknow,
E000007,2026-01-02 01:56:45.405405,company_signup,C0007,,,Pune,
E000008,2026-01-02 06:16:12.972972,company_signup,C0008,,,Pune,
E000009,2026-01-02 10:35:40.540540,company_signup,C0009,,,Gurgaon,
E000010,2026-01-02 14:55:08.108108,company_signup,C0010,,,Mumbai,
E000011,2026-01-02 19:14:35.675675,company_signup,C0011,,,Bangalore,
E000012,2026-01-02 23:34:03.243243,company_signup,C0012,,,Gurgaon,
E000013,2026-01-03 03:53:30.810810,company_signup,C0013,,,Bangalore,
E000014,2026-01-03 08:12:58.378378,company_signup,C0014,,,Bangalore,
E001637,2026-01-03 10:35:40.540540,job_posted,C0009,J00637,,Gurgaon,Marketing
E000015,2026-01-03 12:32:25.945945,company_signup,C0015,,,Lucknow,
E000016,2026-01-03 16:51:53.513513,company_signup,C0016,,,Pune,
E000017,2026-01-03 21:11:21.081081,company_signup,C0017,,,Hyderabad,
E000018,2026-01-04 01:30:48.648648,company_signup,C0018,,,Lucknow,
E002143,2026-01-04 03:53:30.810810,job_posted,C0013,J01143,,Bangalore,Marketing
E000019,2026-01-04 05:50:16.216216,company_signup,C0019,,,Lucknow,
E000020,2026-01-04 10:09:43.783783,company_signup,C0020,,,Bangalore,
E002199,2026-01-04 12:58:22.702702,job_posted,C0004,J01199,,Lucknow,Marketing
E000021,2026-01-04 14:29:11.351351,company_signup,C0021,,,Noida,
E000022,2026-01-04 18:48:38.918918,company_signup,C0022,,,Pune,
E000023,2026-01-04 23:08:06.486486,company_signup,C0023,,,Mumbai,
E001832,2026-01-05 01:30:48.648648,job_posted,C0018,J00832,,Delhi,Data Analyst
E000024,2026-01-05 03:27:34.054054,company_signup,C0024,,,Lucknow,
E000025,2026-01-05 07:47:01.621621,company_signup,C0025,,,Hyderabad,
E000026,2026-01-05 12:06:29.189189,company_signup,C0026,,,Noida,
E001021,2026-01-05 14:29:11.351351,job_posted,C0021,J00021,,Delhi,HR
E000027,2026-01-05 16:25:56.756756,company_signup,C0027,,,Noida,
E001024,2026-01-05 18:48:38.918918,job_posted,C0022,J00024,,Pune,Marketing
E000028,2026-01-05 20:45:24.324324,company_signup,C0028,,,Mumbai,
E001481,2026-01-05 23:34:03.243243,job_posted,C0012,J00481,,Bangalore,Software Engineer
E000029,2026-01-06 01:04:51.891891,company_signup,C0029,,,Lucknow,
E000030,2026-01-06 05:24:19.459459,company_signup,C0030,,,Hyderabad,
E000031,2026-01-06 09:43:47.027027,company_signup,C0031,,,Pune,
E000032,2026-01-06 14:03:14.594594,company_signup,C0032,,,Delhi,
E001022,2026-01-06 14:29:11.351351,job_posted,C0021,J00022,,Gurgaon,HR
